Country,Flag
Australia,D:\Modules\M4\QlikView\Flags\Aus.bmp
Austria,D:\Modules\M4\QlikView\Flags\Aut.bmp
Belgium,Flags\bel.bmp
Canada,Flags\can.bmp
Chile,Flags\chi.bmp
Czechia,Flags\cze.bmp
Denmark,Flags\den.bmp
Estonia,Flags\est.bmp
Finland,Flags\fin.bmp
France,D:\Modules\M4\QlikView\Flags\fra.bmp
Germany,D:\Modules\M4\QlikView\Flags\ger.bmp
Greece,D:\Modules\M4\QlikView\Flags\gre.bmp
Hungary,D:\Modules\M4\QlikView\Flags\hun.bmp
Iceland,Flags\ice.bmp
Ireland,Flags\ire.bmp
Israel,Flags\isr.bmp
Italy,Flags\ita.bmp
Japan,Flags\jap.bmp
Luxembourg,Flags\lux.bmp
Mexico,Flags\mex.bmp
Netherlands,Flags\net.bmp
New Zealand,Flags\nze.bmp
Norway,Flags\nor.bmp
Poland,Flags\pol.bmp
Portugal,Flags\por.bmp
South Korea,Flags\Sko.bmp
Slovakia,Flags\Slk.bmp
Slovenia,Flags\Slo.bmp
Spain,D:\Modules\M4\QlikView\Flags\spa.bmp
Sweden,D:\Modules\M4\QlikView\Flags\swe.bmp
Switzerland,D:\Modules\M4\QlikView\Flags\swi.bmp
Turkey,D:\Modules\M4\QlikView\Flags\tur.bmp
Great Britain,D:\Modules\M4\QlikView\Flags\uk.bmp
U.S.A.,D:\Modules\M4\QlikView\Flags\usa.bmp
